,rank,Youtuber,subscribers,video views,video count,category,started
135,136,rezendeevil,"29,600,000","12,599,347,383","11,571",Gaming,2012
136,137,Shawn Mendes,"29,500,000","11,742,431,673",132,Music,2011
138,139,Boram Tube Vlog [ë³´ëžŒíŠœë¸Œ ë¸Œì´ë¡œê·¸],"29,400,000","13,109,187,449",223,Entertainment,2012
139,140,BabyBus - Kids Songs and Cartoons,"29,200,000","23,790,606,514","1,825",Education,2016
141,142,The Weeknd,"29,100,000","19,280,816,380",123,Music,2011
142,143,Maluma,"28,700,000","19,638,529,002",20,Music,2018
146,147,Worldwide Records Bhojpuri,"28,600,000","14,501,468,946","5,927",Music,2012
148,149,Jingle Toons,"28,600,000","9,728,073,444",228,Film & Animation,2013
150,151,PowerKids TV,"28,400,000","14,322,875,759","2,509",Film & Animation,2014
151,152,MrBeast Gaming,"28,400,000","4,943,059,589",132,Gaming,2020
152,153,Peppa Pig - Official Channel,"28,200,000","21,008,328,965","2,020",Film & Animation,2013
154,155,DONA ë„ë‚˜,"28,100,000","18,421,172,559",160,Entertainment,2018
155,156,Techno Gamerz,"28,100,000","7,193,172,591",839,Gaming,2017
156,157,Wow Kidz,"28,000,000","14,967,441,549","3,718",Film & Animation,2015
159,160,Little Angel: Nursery Rhymes & Kids Songs,"27,700,000","20,217,178,677","1,146",Education,2015
161,162,KAROL G,"27,400,000","14,040,459,862",121,Music,2013
162,163,TheDonato,"27,200,000","5,094,142,687","2,491",Entertainment,2015
164,165,Round2hell,"27,100,000","2,862,422,681",67,Comedy,2016
165,166,infobells - Tamil,"26,900,000","16,492,704,526",460,Education,2014
167,168,MR. INDIAN HACKER,"26,800,000","4,592,841,527",812,Science & Technology,2012
169,170,ToypuddingTV,"26,600,000","15,570,902,183","2,579",Entertainment,2014
170,171,Genevieve's Playhouse - Learning Videos for Kids,"26,500,000","18,579,474,197",578,Education,2016
171,172,Bounce Patrol - Kids Songs,"26,400,000","18,891,028,184",205,Music,2013
173,174,infobells - Telugu,"26,300,000","13,426,911,345",421,Education,2014
174,175,enchufetv,"26,300,000","10,022,194,205",994,Comedy,2011
175,176,AboFlah,"26,300,000","3,589,276,436",553,Gaming,2016
176,177,DanTDM,"26,200,000","18,809,615,646","3,603",Gaming,2012
178,179,Lucas and Marcus,"26,100,000","7,942,766,503",968,Entertainment,2011
184,185,VanossGaming,"25,700,000","14,907,579,962","1,581",Gaming,2011
185,186,LosPolinesios,"25,600,000","7,086,413,849",725,People & Blogs,2012
186,187,1MILLION Dance Studio,"25,500,000","7,409,442,051","4,251",Entertainment,2015
187,188,BB Ki Vines,"25,500,000","4,371,751,617",185,Entertainment,2015
188,189,Renato Garcia,"25,400,000","6,901,320,769","3,648",Entertainment,2011
191,192,Nick Jr.,"25,100,000","20,691,684,541","4,712",Film & Animation,2012
194,195,MarÃ­lia MendonÃ§a,"24,900,000","16,477,333,283",114,Music,2013
198,199,Jess No Limit,"24,700,000","3,060,187,306","1,914",Entertainment,2017
200,201,Las Ratitas,"24,600,000","9,217,427,023",217,People & Blogs,2015
201,202,Nicki Minaj,"24,500,000","9,386,490,086",31,Music,2013
203,204,Goldmines Dishoom,"24,400,000","7,143,695,444","2,844",Film & Animation,2016
205,206,Masha y el Oso,"24,300,000","11,006,209,206",840,Film & Animation,2016
206,207,Aditya Movies,"24,300,000","7,908,171,009","4,274",Movies,2012
207,208,Netflix,"24,300,000","5,678,834,326","5,650",Entertainment,2012
208,209,ZHC,"24,300,000","2,224,916,696",298,Film & Animation,2013
209,210,Post Malone,"24,200,000","12,492,313,399",51,Music,2011
210,211,1theK (ì›ë”ì¼€ì´),"24,200,000","22,605,283,252","16,928",Music,2011
211,212,Amit Bhadana,"24,100,000","2,242,631,303",93,Entertainment,2012
212,213,Rans Entertainment,"24,000,000","5,688,277,632","3,060",People & Blogs,2015
213,214,Chloe Ting,"24,000,000","2,735,828,023",367,Howto & Style,2011
214,215,Sandeep Maheshwari,"24,000,000","1,821,164,544",513,People & Blogs,2012
215,216,Raffy Tulfo in Action,"23,900,000","12,797,189,774","8,755",News & Politics,2016
217,218,Collins Key,"23,900,000","6,368,398,946",251,Entertainment,2011
218,219,James Charles,"23,900,000","3,687,600,020",406,Entertainment,2015
219,220,Ninja,"23,900,000","2,447,087,199","1,418",Gaming,2011
221,222,Logan Paul,"23,500,000","5,889,189,870",712,Entertainment,2015
224,225,Happy Lives,"23,400,000","10,089,784,164",596,Science & Technology,2016
225,226,TRANS7 OFFICIAL,"23,300,000","12,454,676,964","78,951",Entertainment,2014
226,227,Troom Troom,"23,200,000","9,797,581,328","1,992",Howto & Style,2015
227,228,ABPLIVE,"23,200,000","6,805,551,423","146,479",People & Blogs,2017
228,229,Mister Max,"23,100,000","14,762,469,807","1,046",People & Blogs,2014
229,230,NickyJamTV,"23,100,000","15,050,718,616",328,Music,2012
230,231,Shemaroo Movies,"23,000,000","5,590,554,837","2,155",Entertainment,2011
233,234,netd mÃ¼zik,"22,800,000","50,658,927,334","20,482",Music,2014
234,235,Jelly,"22,800,000","14,239,994,409","5,667",Gaming,2014
235,236,Erlania e Valentina Pontes,"22,700,000","7,556,615,404","1,117",Film & Animation,2014
237,238,Anuel AA,"22,400,000","11,627,613,226",92,Music,2016
238,239,Goldmines Bollywood,"22,400,000","7,122,122,133","2,409",Film & Animation,2015
239,240,Miss Katy,"22,300,000","13,424,354,473",990,People & Blogs,2014
240,241,The Chainsmokers,"22,300,000","13,337,815,978",237,Music,2012
241,242,Crazy XYZ,"22,300,000","5,869,132,761","1,085",Entertainment,2017
242,243,Frost Diamond,"22,300,000","5,357,578,673","2,191",Gaming,2014
243,244,Mark Rober,"22,300,000","2,935,811,566",107,Science & Technology,2011
244,245,The Lallantop,"22,200,000","8,155,335,430","39,370",News & Politics,2015
245,246,Technical Guruji,"22,200,000","3,065,204,553","4,609",Science & Technology,2015
247,248,HUM TV,"22,100,000","16,656,148,835","59,428",Entertainment,2011
248,249,Like Nastya AE,"22,100,000","11,179,266,145",576,Entertainment,2018
249,250,WB Kids,"22,100,000","9,340,794,746","1,722",People & Blogs,2015
252,253,Smile Family,"22,000,000","8,261,468,075",413,People & Blogs,2018
255,256,White Hill Music,"21,700,000","9,719,487,276","5,094",Entertainment,2014
256,257,Paulo Londra,"21,700,000","7,061,442,001",52,Music,2016
261,262,Wave Music Bhojpuri,"21,500,000","12,148,385,591","21,294",Music,2014
262,263,Peppa Pig EspaÃ±ol Latino - Canal Oficial,"21,500,000","6,961,098,158",949,Film & Animation,2014
263,264,FaZe Rug,"21,500,000","6,009,951,177","1,997",Gaming,2012
264,265,Goldmines Movies,"21,400,000","4,575,205,400","4,025",Film & Animation,2013
265,266,Pen Movies,"21,200,000","5,588,648,749","1,569",Film & Animation,2014
267,268,BabyBus - Canciones Infantiles & Cuentos,"21,100,000","11,922,457,689",973,Education,2018
268,269,Enaldinho,"21,100,000","7,382,859,153","2,908",Comedy,2012
270,271,Tasty,"21,000,000","5,508,445,771","4,310",Howto & Style,2016
271,272,FGTeeV,"20,900,000","22,567,064,225","1,594",Gaming,2013
272,273,Dua Lipa,"20,900,000","9,928,011,592",164,Music,2011
273,274,5-Minute Crafts DIY,"20,900,000","4,934,552,904","3,961",Howto & Style,2018
274,275,Juan De Dios Pantoja,"20,900,000","1,601,142,353",175,Entertainment,2014
275,276,Indosiar,"20,800,000","10,126,082,404","58,623",Music,2013
276,277,Like Nastya PRT,"20,800,000","10,441,789,042",529,Entertainment,2019
277,278,Preston,"20,800,000","6,955,897,177","3,861",Gaming,2012
278,279,Baim Paula,"20,800,000","4,254,648,656","1,957",People & Blogs,2016
280,281,Canal Canalha,"20,700,000","1,834,293,432",291,Comedy,2011
281,282,MrBeast en EspaÃ±ol,"20,700,000","2,290,112,686",72,Entertainment,2021
282,283,Goldmines Cineplex,"20,600,000","1,796,017,693","2,474",Film & Animation,2015
284,285,Kids TV - Nursery Rhymes And Baby Songs,"20,400,000","11,747,446,967","3,367",Shows,2013
286,287,Becky G,"20,400,000","9,552,800,638",73,Music,2011
287,288,Family GamesTV,"20,400,000","7,061,690,830",277,Entertainment,2016
288,289,Jake Paul,"20,400,000","7,219,140,294",934,People & Blogs,2013
